jobTitle,jobClassification,jobSubClassification,advertiserName,companyName,companyRating,listingDate,expiryDate,nation,state,city,area,suburb,workType,salary_string,isRightToWorkRequired,R,Python,Matlab,SQL,Stata,Minitab,SPSS,Ruby,C,Scala,Tableau,Java,Hadoop,SAS,Julia,Knime,D3,Clojure,Haskell,Lisp,Golang,Spark,Javascript,F.,Fortran,first_seen,last_seen,recruiter,jobType,salary,total_skills,experience
"Senior Research Scientist, Computer Vision",Government & Defence,Government - Federal,CSIRO,CSIRO,,13-02-2019 14:18,15-03-2019 23:59,Australia,Australian Capital Territory,canberra,,blackmountain,Full Time,$111k - $130k p.a. + up to 15.4% superannuation,t,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,06-03-2019,11-03-2019,0,Data Scientist,83492.46,3,3
Data Scientist,Information & Communication Technology,Telecommunications,RESOURCE CORNER PTY LTD,,,13-02-2019 17:00,15-03-2019 17:00,Australia,Victoria,melbourne,CBD & Inner Suburbs,melbourne,Full Time,,f,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,06-03-2019,15-03-2019,1,Data Scientist,700388.8,3,7
Fisheries Scientist,Science & Technology,"Environmental, Earth & Geosciences",IPA,,,13-02-2019 17:03,15-03-2019 23:59,Australia,Queensland,brisbane,,,Full Time,,f,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,06-03-2019,07-03-2019,0,Data Scientist,94495.04,2,4.75
Data Scientist - Analytics,Science & Technology,"Mathematics, Statistics & Information Sciences",Valrose,,,13-02-2019 18:15,15-03-2019 18:15,Australia,Western Australia,perth,"CBD, Inner & Western Suburbs",perth,Full Time,,f,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,06-03-2019,15-03-2019,1,Data Scientist,97859.91,4,4.98
Big Data Engineer,Information & Communication Technology,Developers/Programmers,Precision Sourcing,,,14-02-2019 11:55,16-03-2019 23:59,Australia,Victoria,melbourne,CBD & Inner Suburbs,melbourne,Full Time,including super,f,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,06-03-2019,11-03-2019,1,Data Engineer,832344.92,1,5.01
Data Modeller Fianancial Services ,Information & Communication Technology,Developers/Programmers,Progressive,,,14-02-2019 14:48,16-03-2019 23:59,Australia,New South Wales,sydney,,,Contract/Temp,$750 - $900 p.a. + competitive,f,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,06-03-2019,11-03-2019,0,Other,125257.69,1,4.75
Graduate Data Scientist,Science & Technology,"Mathematics, Statistics & Information Sciences",Elula,,,14-02-2019 17:57,16-03-2019 17:57,Australia,New South Wales,sydney,"CBD, Inner West & Eastern Suburbs",sydney,Full Time,,f,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,06-03-2019,16-03-2019,0,Data Scientist,155506.84,4,1
Data Scientist,Science & Technology,"Mathematics, Statistics & Information Sciences",Elula,,,14-02-2019 17:58,16-03-2019 17:58,Australia,New South Wales,sydney,"CBD, Inner West & Eastern Suburbs",sydney,Full Time,,f,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,06-03-2019,16-03-2019,0,Data Scientist,147023.15,4,3
(Graduate) Cloud Platform Engineer,Information & Communication Technology,Developers/Programmers,Elula,,,14-02-2019 18:00,16-03-2019 18:00,Australia,New South Wales,sydney,"CBD, Inner West & Eastern Suburbs",sydney,Full Time,,f,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,06-03-2019,11-03-2019,0,Data Engineer,155506.84,4,1
Senior Data Engineer: Software Start-Up (well-funded),Information & Communication Technology,Engineering - Software,Talent Insights Group Pty Ltd,,,15-02-2019 16:15,17-03-2019 23:59,Australia,New South Wales,sydney,"CBD, Inner West & Eastern Suburbs",sydney,Full Time,$140K-$160K + Super + Bonus/Equity,f,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,06-03-2019,11-03-2019,1,Data Engineer,134819.18,3,4.75
